,speaker,recording,year,topic,VowelN,t1,t2,timetoIPend,VowelQ,vstress,word,wstress,VoiceQ,hnr_mid,hnr_mean,f0_mid,f0_mean,duration,center
0,S01,21_07_12_autonomicos_203,2021,new topic,5,6.538767543579473,6.606553659288441,0.9124444143558881,au,2_pre_n,autonomicos,antepenultimate,,9.607691603182339,6.129889516605619,168.943932613914,168.23359536201787,0.06778611570896764,6.572660601433957
1,S01,21_07_12_autonomicos_203,2021,new topic,4,6.753914780394893,6.804017561571086,0.6972971775404684,o,1_pre_n,autonomicos,antepenultimate,,2.269579537902799,2.6474969628333898,137.47383027941953,140.09877093787938,0.050102781176192934,6.778966170982989
2,S01,21_07_12_autonomicos_203,2021,new topic,3,6.8442081482907735,6.903152596733354,0.6070038096445876,o,n,autonomicos,antepenultimate,whisper,13.009420788801904,1.7670258644877272,,,0.05894444844258029,6.873680372512064
3,S01,21_07_12_autonomicos_203,2021,new topic,2,6.9812539909197735,7.0578817738951285,0.46995796701558756,i,1_post_n,autonomicos,antepenultimate,whisper,-200.0,-0.40575798963564047,,,0.076627782975355,7.0195678824074506
4,S01,21_07_12_autonomicos_203,2021,new topic,1,7.144824835347935,7.242083175278192,0.3063871225874264,o,2_post_n,autonomicos,antepenultimate,whisper,-203.7596067582366,-2.698346579013106,,,0.09725833993025734,7.193454005313063
0,S01,21_06_25_operador_7,2021,new topic,5,5.603424483148774,5.6629205904691515,0.5528821052821309,e,4_pre_n,del,,,13.63894670767849,8.880168365112793,158.87935120544984,161.25394306902444,0.05949610732037769,5.633172536808963
1,S01,21_06_25_operador_7,2021,new topic,4,5.708898613247733,5.766554634774698,0.44740797518317166,o,3_pre_n,operador,penultimate,,10.588970941342778,6.632457575696287,148.6260481571151,147.60618570622802,0.05765602152696481,5.7377266240112155
2,S01,21_06_25_operador_7,2021,new topic,3,5.841651917757152,5.88949414838591,0.31465467067375297,e,2_pre_n,operador,penultimate,creaky,4.481585066003027,1.4652029821782704,,,0.04784223062875803,5.865573033071531
3,S01,21_06_25_operador_7,2021,new topic,2,5.916482073355978,5.967391113640425,0.2398245150749263,a,1_pre_n,operador,penultimate,creaky,-200.0,,,,0.05090904028444676,5.941936593498202
4,S01,21_06_25_operador_7,2021,new topic,1,6.026273859029666,6.119504872562629,0.1300327294012389,o,n,operador,penultimate,whisper,-200.0,,,,0.09323101353296348,6.072889365796147
0,S01,21_07_20_NorteWestfalia_307,2021,same topic,6,0.0,6.496012018165661,7.420684576295511, ,,,,,6.276180532143705,12.264845814726181,160.02591523718377,171.0453955637702,6.496012018165661,3.2480060090828307
